Date,Open,High,Low,Close
"Thursday, October 26, 2017",332.11,350.94,331.21,338.2
"Wednesday, October 25, 2017",326.59,334.38,320.38,332.13
"Tuesday, October 24, 2017",315.9,340.45,311.48,326.89
"Monday, October 23, 2017",330.67,332.28,309.87,315.6
"Sunday, October 22, 2017",323.5,355.52,323.5,331.66
"Saturday, October 21, 2017",326.75,328.45,317.46,323.36
"Friday, October 20, 2017",330.9,332.98,323.08,327.44
"Thursday, October 19, 2017",339.27,339.27,326.27,330.81
"Wednesday, October 18, 2017",373.65,376.18,313.77,339.17
"Tuesday, October 17, 2017",313.7,394.96,309.64,371.73
"Monday, October 16, 2017",315.26,318.02,310.52,313.64
"Sunday, October 15, 2017",322.42,323.59,307.68,314.95
"Saturday, October 14, 2017",321.54,327.42,317.35,321.96
"Friday, October 13, 2017",314.15,323.08,304.38,321.46
"Thursday, October 12, 2017",315.47,330.13,310.71,313.21
"Wednesday, October 11, 2017",320.2,321.26,312.13,314.9
"Tuesday, October 10, 2017",313.22,352.02,311.7,321.59
"Monday, October 9, 2017",342.76,342.76,289.04,314.16
"Sunday, October 8, 2017",360.09,362.46,337,342.21
"Saturday, October 7, 2017",363.6,364.88,356.06,360.78
"Friday, October 6, 2017",355.44,371.28,354.96,363.01
"Thursday, October 5, 2017",358.42,371.19,348.45,355.75
"Wednesday, October 4, 2017",404.2,404.45,354.55,358.45
"Tuesday, October 3, 2017",421.79,421.79,395.74,404.18
"Monday, October 2, 2017",415.87,430.86,411.84,421.19
"Sunday, October 1, 2017",433.38,436.94,415.15,415.15
"Saturday, September 30, 2017",436.64,445.62,432.53,432.63
"Friday, September 29, 2017",447.66,447.92,426.99,436.77
"Thursday, September 28, 2017",456.71,465.2,433.5,447.81
"Wednesday, September 27, 2017",441.86,460,439.41,457.31
"Tuesday, September 26, 2017",445.36,458.25,441.83,441.83
"Monday, September 25, 2017",419.65,450.13,419.65,445.8
"Sunday, September 24, 2017",428.8,433.04,419.25,421.03
"Saturday, September 23, 2017",415.31,432.96,407.45,428.5
"Friday, September 22, 2017",417.92,435.44,402.77,415.09
"Thursday, September 21, 2017",475.83,480,413.75,416.26
"Wednesday, September 20, 2017",526.74,527.72,471.09,476.05
"Tuesday, September 19, 2017",480.64,550.41,450.05,527.88
"Monday, September 18, 2017",422.09,479.69,422.09,479.32
"Sunday, September 17, 2017",438.9,438.9,384.06,419.86
"Saturday, September 16, 2017",424.49,450.98,388.2,440.22
"Friday, September 15, 2017",369.49,448.39,301.69,424.02
"Thursday, September 14, 2017",504.22,510.47,367.04,367.04
"Wednesday, September 13, 2017",509.47,519.2,471.22,503.61
"Tuesday, September 12, 2017",539.03,559.22,505.01,510.41
"Monday, September 11, 2017",537.19,556.25,515.67,537.81
"Sunday, September 10, 2017",546.48,546.75,484.09,537.07
"Saturday, September 9, 2017",584.73,586.18,539.15,547.47
"Friday, September 8, 2017",654.37,687.3,557.5,583.1
"Thursday, September 7, 2017",636.85,707.98,603.5,652.86
"Wednesday, September 6, 2017",541.28,642.69,539.96,638.18
"Tuesday, September 5, 2017",514.9,550.95,458.78,541.71
"Monday, September 4, 2017",608.26,608.26,500.75,517.24
"Sunday, September 3, 2017",578.27,617.41,563.59,607.43
"Saturday, September 2, 2017",621.96,642.05,560.58,575.9
"Friday, September 1, 2017",588.4,645.52,586.73,622.17
"Thursday, August 31, 2017",576.25,603.69,572.14,588.17
"Wednesday, August 30, 2017",549.32,604.69,535.92,575.21
"Tuesday, August 29, 2017",596.13,599.3,528.32,552.93
"Monday, August 28, 2017",619.7,626.88,595.52,596.18
"Sunday, August 27, 2017",625.89,654.87,589.63,620.9
"Saturday, August 26, 2017",641.88,646.93,622.36,625.32
"Friday, August 25, 2017",627.06,665.41,624.3,641.05
"Thursday, August 24, 2017",670.03,697.32,617.31,628.11
"Wednesday, August 23, 2017",690.96,715.67,651.32,669.4
"Tuesday, August 22, 2017",596.19,734.88,570.27,690.88
"Monday, August 21, 2017",723.7,756.59,573.47,599.63
"Sunday, August 20, 2017",772.42,858.96,683.94,712.87
"Saturday, August 19, 2017",697.04,1091.97,625.16,754.56
"Friday, August 18, 2017",458.67,764.07,458.67,690.24
"Thursday, August 17, 2017",301.02,460.53,293.1,460.53
"Wednesday, August 16, 2017",297.97,307.62,290.21,300.21
"Tuesday, August 15, 2017",298.19,306.52,292.88,297.86
"Monday, August 14, 2017",296.1,327.39,293.5,297.68
"Sunday, August 13, 2017",316.29,317.47,298.05,298.05
"Saturday, August 12, 2017",327.82,341.85,313.7,317.09
"Friday, August 11, 2017",275.88,351.16,275.02,328.24
"Thursday, August 10, 2017",305.21,311.68,274.68,275.95
"Wednesday, August 9, 2017",345.28,349.32,298.61,303.89
"Tuesday, August 8, 2017",321.35,386.29,309.61,345.49
"Monday, August 7, 2017",223.76,373.87,223.76,319.69
"Sunday, August 6, 2017",212.18,223.7,203.44,220.66
"Saturday, August 5, 2017",231.11,273.04,200.98,213.15
"Friday, August 4, 2017",362.18,386.93,233.05,233.05
"Thursday, August 3, 2017",448.49,519.28,364.05,364.05
"Wednesday, August 2, 2017",382.38,756.93,309.33,452.66
"Tuesday, August 1, 2017",294.6,426.11,210.38,380.01
"Monday, July 31, 2017",346.36,347.82,266.19,294.46
"Sunday, July 30, 2017",385.14,385.14,316.25,345.66
"Saturday, July 29, 2017",410.56,423.73,323.73,384.77
"Friday, July 28, 2017",386.65,465.18,217.06,406.05
"Thursday, July 27, 2017",417.1,460.97,367.78,385.48
"Wednesday, July 26, 2017",407.08,486.16,321.79,365.82
"Tuesday, July 25, 2017",441.35,541.66,338.09,406.9
"Monday, July 24, 2017",412.58,578.89,409.21,440.7
"Sunday, July 23, 2017",555.89,578.97,411.78,413.06
